X_时间（h）,Y_E0净电网交互功率（MW）,Y_E1净电网交互功率（MW）
826,-620.0000000000,-620.0000000000
827,-620.0000000000,-620.0000000000
828,-620.0000000000,-620.0000000000
829,-620.0000000000,-620.0000000000
830,-620.0000000000,-620.0000000000
831,-620.0000000000,-620.0000000000
832,-620.0000000000,-620.0000000000
833,-620.0000000000,-620.0000000000
834,-620.0000000000,-620.0000000000
835,-620.0000000000,-620.0000000000
836,-591.4316000000,-620.0000000000
837,-538.7246000000,-620.0000000000
838,-404.0281991601,-620.0000000000
839,-296.6011008499,-620.0000000000
840,-243.9825995800,-620.0000000000
841,-313.7276991601,-620.0000000000
842,-454.0915987335,-620.0000000000
843,-485.4435987335,-620.0000000000
844,-595.8737000000,-620.0000000000
845,-620.0000000000,-620.0000000000
846,-620.0000000000,-620.0000000000
847,-620.0000000000,-620.0000000000
848,-620.0000000000,-620.0000000000
849,-620.0000000000,-620.0000000000
850,-620.0000000000,-620.0000000000
851,-620.0000000000,-620.0000000000
852,-620.0000000000,-620.0000000000
853,-620.0000000000,-620.0000000000
854,-620.0000000000,-620.0000000000
855,-620.0000000000,-620.0000000000
856,-620.0000000000,-620.0000000000
857,-620.0000000000,-620.0000000000
858,-620.0000000000,-620.0000000000
859,-620.0000000000,-620.0000000000
860,-620.0000000000,-620.0000000000
861,-489.2576000100,-620.0000000000
862,-426.5632000033,-620.0000000000
863,-311.1637000033,-620.0000000000
864,-268.9835004233,-620.0000000000
865,-303.5229991501,-620.0000000000
866,-421.4675999933,-620.0000000000
867,-516.6171000033,-620.0000000000
868,-610.7647995734,-620.0000000000
869,-620.0000000000,-620.0000000000
870,-620.0000000000,-620.0000000000
871,-620.0000000000,-620.0000000000
872,-620.0000000000,-620.0000000000
873,-620.0000000000,-620.0000000000
874,-620.0000000000,-620.0000000000
875,-620.0000000000,-620.0000000000
876,-620.0000000000,-620.0000000000
877,-620.0000000000,-620.0000000000
878,-620.0000000000,-620.0000000000
879,-620.0000000000,-620.0000000000
880,-620.0000000000,-620.0000000000
881,-620.0000000000,-620.0000000000
882,-620.0000000000,-620.0000000000
883,-620.0000000000,-620.0000000000
884,-600.9476000000,-620.0000000000
885,-557.2067004133,-620.0000000000
886,-415.9650008432,-620.0000000000
887,-345.2980000000,-620.0000000000
888,-285.8596004333,-620.0000000000
889,-319.5449995734,-620.0000000000
890,-332.5633008432,-620.0000000000
891,-554.4298995800,-620.0000000000
892,-615.4250004166,-620.0000000000
893,-620.0000000000,-620.0000000000
894,-620.0000000000,-620.0000000000
895,-620.0000000000,-620.0000000000
896,-620.0000000000,-620.0000000000
897,-620.0000000000,-620.0000000000
898,-620.0000000000,-620.0000000000
899,-620.0000000000,-620.0000000000
900,-620.0000000000,-620.0000000000
901,-620.0000000000,-620.0000000000
902,-620.0000000000,-620.0000000000
903,-620.0000000000,-620.0000000000
904,-620.0000000000,-620.0000000000
905,-620.0000000000,-620.0000000000
906,-620.0000000000,-620.0000000000
907,-620.0000000000,-620.0000000000
908,-616.6066995767,-620.0000000000
909,-502.1839999967,-620.0000000000
910,-379.9006991601,-620.0000000000
911,-254.8691012665,-620.0000000000
912,-254.9866012665,-620.0000000000
913,-319.2338004266,-620.0000000000
914,-435.8347000000,-620.0000000000
915,-517.8913987335,-620.0000000000
916,-603.9382004233,-620.0000000000
917,-620.0000000000,-620.0000000000
918,-620.0000000000,-620.0000000000
919,-620.0000000000,-620.0000000000
920,-620.0000000000,-620.0000000000
921,-620.0000000000,-620.0000000000
922,-620.0000000000,-620.0000000000
923,-620.0000000000,-620.0000000000
924,-620.0000000000,-620.0000000000
925,-620.0000000000,-620.0000000000
926,-620.0000000000,-620.0000000000
927,-620.0000000000,-620.0000000000
928,-620.0000000000,-620.0000000000
929,-620.0000000000,-620.0000000000
930,-620.0000000000,-620.0000000000
931,-620.0000000000,-620.0000000000
932,-620.0000000000,-620.0000000000
933,-477.2905000067,-620.0000000000
934,-404.6580999967,-620.0000000000
935,-327.1075008399,-620.0000000000
936,-295.6150004233,-620.0000000000
937,-290.8595999967,-620.0000000000
938,-426.6482991501,-620.0000000000
939,-477.7313000000,-620.0000000000
940,-620.0000000000,-620.0000000000
941,-620.0000000000,-620.0000000000
942,-620.0000000000,-620.0000000000
943,-620.0000000000,-620.0000000000
944,-620.0000000000,-620.0000000000
945,-620.0000000000,-620.0000000000
946,-620.0000000000,-620.0000000000
947,-620.0000000000,-620.0000000000
948,-620.0000000000,-620.0000000000
949,-620.0000000000,-620.0000000000
950,-620.0000000000,-620.0000000000
951,-620.0000000000,-620.0000000000
952,-620.0000000000,-620.0000000000
953,-620.0000000000,-620.0000000000
954,-620.0000000000,-620.0000000000
955,-620.0000000000,-620.0000000000
956,-620.0000000000,-620.0000000000
957,-576.7882000000,-620.0000000000
958,-314.8672995834,-620.0000000000
959,-301.5268995767,-620.0000000000
960,-324.8862991601,-620.0000000000
961,-264.3059008399,-620.0000000000
962,-384.7194000067,-620.0000000000
963,-442.8468008399,-620.0000000000
964,-596.6484004233,-620.0000000000
965,-620.0000000000,-620.0000000000
966,-620.0000000000,-620.0000000000
967,-620.0000000000,-620.0000000000
968,-620.0000000000,-620.0000000000
969,-620.0000000000,-620.0000000000
970,-620.0000000000,-620.0000000000
971,-620.0000000000,-620.0000000000
972,-620.0000000000,-620.0000000000
973,-620.0000000000,-620.0000000000
974,-620.0000000000,-620.0000000000
975,-620.0000000000,-620.0000000000
976,-620.0000000000,-620.0000000000
977,-620.0000000000,-620.0000000000
978,-620.0000000000,-620.0000000000
979,-620.0000000000,-620.0000000000
980,-620.0000000000,-620.0000000000
981,-519.0782004266,-620.0000000000
982,-350.1070004233,-620.0000000000
983,-244.6724995734,-620.0000000000
984,-254.0754995767,-620.0000000000
985,-309.4427991601,-620.0000000000
986,-388.2908000000,-620.0000000000
987,-555.6603000100,-620.0000000000
988,-616.2572004233,-620.0000000000
989,-620.0000000000,-620.0000000000
990,-620.0000000000,-620.0000000000
991,-620.0000000000,-620.0000000000
992,-620.0000000000,-620.0000000000
993,-620.0000000000,-620.0000000000
994,-620.0000000000,-620.0000000000
995,-620.0000000000,-620.0000000000
996,-620.0000000000,-620.0000000000
997,-620.0000000000,-620.0000000000
998,-620.0000000000,-620.0000000000
999,-620.0000000000,-620.0000000000
1000,-620.0000000000,-620.0000000000
1001,-620.0000000000,-620.0000000000
1002,-620.0000000000,-620.0000000000
1003,-620.0000000000,-620.0000000000
1004,-620.0000000000,-620.0000000000
1005,-522.2586008499,-620.0000000000
1006,-444.2479004333,-620.0000000000
1007,-310.1284995834,-620.0000000000
1008,-301.4477995834,-620.0000000000
1009,-250.5469008499,-620.0000000000
1010,-422.2851000033,-620.0000000000
1011,-518.6359004166,-620.0000000000
1012,-614.1999995834,-620.0000000000
1013,-620.0000000000,-620.0000000000
1014,-620.0000000000,-620.0000000000
1015,-620.0000000000,-620.0000000000
1016,-620.0000000000,-620.0000000000
1017,-620.0000000000,-620.0000000000
1018,-620.0000000000,-620.0000000000
1019,-620.0000000000,-620.0000000000
1020,-620.0000000000,-620.0000000000
1021,-620.0000000000,-620.0000000000
1022,-620.0000000000,-620.0000000000
1023,-620.0000000000,-620.0000000000
1024,-620.0000000000,-620.0000000000
1025,-620.0000000000,-620.0000000000
1026,-620.0000000000,-620.0000000000
1027,-620.0000000000,-620.0000000000
1028,-608.6819004233,-620.0000000000
1029,-478.3862008432,-620.0000000000
1030,-500.5965008399,-620.0000000000
1031,-344.8973000100,-620.0000000000
1032,-273.2471004166,-620.0000000000
1033,-307.9384995734,-620.0000000000
1034,-327.7466000000,-620.0000000000
1035,-484.1572995867,-620.0000000000
1036,-614.8602000000,-620.0000000000
1037,-620.0000000000,-620.0000000000
1038,-620.0000000000,-620.0000000000
1039,-620.0000000000,-620.0000000000
1040,-620.0000000000,-620.0000000000
